"Date(UTC)","UnixTimeStamp","Value"
"4/2/2017","1491091200","48.55"
"4/3/2017","1491177600","44.13"
"4/4/2017","1491264000","44.43"
"4/5/2017","1491350400","44.90"
"4/6/2017","1491436800","43.23"
"4/7/2017","1491523200","42.31"
"4/8/2017","1491609600","44.37"
"4/9/2017","1491696000","43.72"
"4/10/2017","1491782400","43.74"
"4/11/2017","1491868800","43.74"
"4/12/2017","1491955200","46.38"
"4/13/2017","1492041600","49.97"
"4/14/2017","1492128000","47.32"
"4/15/2017","1492214400","48.89"
"4/16/2017","1492300800","48.22"
"4/17/2017","1492387200","47.94"
"4/18/2017","1492473600","49.88"
"4/19/2017","1492560000","47.88"
"4/20/2017","1492646400","49.36"
"4/21/2017","1492732800","48.27"
"4/22/2017","1492819200","48.41"
"4/23/2017","1492905600","48.75"
"4/24/2017","1492992000","49.94"
"4/25/2017","1493078400","50.09"
"4/26/2017","1493164800","53.28"
"4/27/2017","1493251200","63.14"
"4/28/2017","1493337600","72.42"
"4/29/2017","1493424000","69.83"
"4/30/2017","1493510400","79.83"
"5/1/2017","1493596800","77.53"
"5/2/2017","1493683200","77.25"
"5/3/2017","1493769600","80.37"
"5/4/2017","1493856000","94.55"
"5/5/2017","1493942400","90.79"
"5/6/2017","1494028800","94.82"
"5/7/2017","1494115200","90.46"
"5/8/2017","1494201600","88.39"
"5/9/2017","1494288000","86.27"
"5/10/2017","1494374400","87.83"
"5/11/2017","1494460800","88.20"
"5/12/2017","1494547200","85.15"
"5/13/2017","1494633600","87.96"
"5/14/2017","1494720000","88.72"
"5/15/2017","1494806400","90.32"
"5/16/2017","1494892800","87.80"
"5/17/2017","1494979200","86.98"
"5/18/2017","1495065600","95.88"
"5/19/2017","1495152000","124.38"
"5/20/2017","1495238400","123.06"
"5/21/2017","1495324800","148.00"
"5/22/2017","1495411200","160.39"
"5/23/2017","1495497600","169.50"
"5/24/2017","1495584000","193.03"
"5/25/2017","1495670400","177.33"
"5/26/2017","1495756800","162.83"
"5/27/2017","1495843200","156.63"
"5/28/2017","1495929600","172.86"
"5/29/2017","1496016000","194.17"
"5/30/2017","1496102400","228.58"
"5/31/2017","1496188800","228.64"
"6/1/2017","1496275200","220.70"
"6/2/2017","1496361600","222.04"
"6/3/2017","1496448000","224.30"
"6/4/2017","1496534400","244.96"
